date,score,user_tags,user_rank,usage_duration,item_option,text_review,recommendation_score,발색력,지속력,발림성,수분감,skin_tone
2024.08.15,5점만점에 3점,,,한달이상사용,[옵션] [미니글로스 기획] 13 코숏진주코랄,"제 입술에서는 라이트한 코랄 색감이었고 생각보다 착색도 꽤 남아서 좋았어요!
증정된 미니 글로스도 펄이 부담스럽지 않고 예뻤어요
아쉬운 점은 요플레 현상이 살짝 있었고 구매한지 얼마 안 됐는데 상한 거 같아서 사용을 못 하고 있어요ㅜㅜ",0,보통이에요,보통이에요,아주 만족해요,보통이에요,
2024.06.23,5점만점에 3점,"지성, 웜톤, 다크서클",,한달이상사용,[옵션] 01 빈티지애플,"장점:광이 미쳤음/갈웜찰떡
단점:착색이 지저분함/입술이 건조해짐",0,보통이에요,예상보다 짧아요,아주 만족해요,보통이에요, 웜톤
2024.06.22,5점만점에 3점,"건성, 겨울쿨톤, 블랙헤드, 아토피",,한달이상사용,[옵션] 01 빈티지애플,"진하게 바르면 찐핑크빛이 돌아서 손이 잘 안가더라구요
연하게만 발라주세요",0,다소 아쉬워요,예상보다 짧아요,보통이에요,보통이에요, 겨울쿨톤
2024.06.17,5점만점에 3점,"지성, 봄웜톤",,,[옵션] [미니글로스 기획] 13 코숏진주코랄,살까말까 오랫동안 고민하다가 미니글로스 기획이 끌려서 구매했어요! 봄웜인데 예쁘고 맑은 색입니다. 14호도 사보고싶어요,0,보통이에요,보통이에요,보통이에요,보통이에요, 봄웜톤
2024.06.14,5점만점에 3점,,,한달이상사용,[옵션] 06 데일리모브,처음 바를 때 이쁘고 좋은데요 지워져소 계속 올리다보면 겁나 빨개져있어요 착색이 너무 심하고 안지워져요 클렌징패드 들고다니면서 발라야 처음 바를때 처럼 되서 그게 아쉬워요 착색 너뮤 심해요 ㅜㅜㅜㅜ,0,보통이에요,지속이 오래돼요,아주 만족해요,아주 촉촉해요,
2024.05.12,5점만점에 3점,,,한달이상사용,[옵션] 10 베이비베리,3개나 가지고있는 틴트인데ㅔ요플레현상약간 있긴한데 이거 바르고 이쁘다는 소리 완전 많이들음,0,보통이에요,보통이에요,보통이에요,보통이에요,
2024.05.11,5점만점에 3점,"복합성, 겨울쿨톤, 트러블",,,[옵션] 03 블러쉬드피치,색상도 이쁘고 디자인도 이쁘고 가격도 무난한데 요플레 현상이 너무 심해요,0,아주 만족해요,지속이 오래돼요,아주 만족해요,보통이에요, 겨울쿨톤
2024.04.22,5점만점에 3점,,,,[옵션] 01 빈티지애플,"광은 잘나고 촉촉합니당
본인 쿨톤 추정인데 빈티지 애플은 조금 웜해여
+지속력&착색이 좀 아쉽네요
착색 잘되는 틴트 원하셨다면 좀 실망하실 듯 합니다ㅜ",0,아주 만족해요,예상보다 짧아요,보통이에요,보통이에요,
2024.01.12,5점만점에 3점,"복합성, 가을웜톤, 각질, 모공",,,[옵션] 03 블러쉬드피치,처음 발랐을땐 이쁘지만 광이 잘 마르고 덧바르면 색이 너무 진해져요,0,보통이에요,보통이에요,보통이에요,보통이에요, 가을웜톤
2023.12.30,5점만점에 3점,"건성, 쿨톤, 잡티",,한달이상사용,[옵션] 01 빈티지애플,"색감도 예쁘고 촉촉해서 좋은데
지속력이 짧은게 아쉬워요..",0,아주 만족해요,예상보다 짧아요,아주 만족해요,아주 촉촉해요, 쿨톤
2023.10.31,5점만점에 3점,"트러블성, 봄웜톤, 모공, 민감성",,한달이상사용,[옵션] 01 빈티지애플,색깔을 잘못사서 문제입니다 ㅠㅠㅠ 웜톰인데 핑크를 사버려서 ㅠㅠㅠㅠ,0,아주 만족해요,지속이 오래돼요,아주 만족해요,아주 촉촉해요, 봄웜톤
2023.10.25,5점만점에 3점,"건성, 쿨톤, 잡티",,,[옵션] 01 빈티지애플,"촉촉하고 광이 나게 발색이 되는데
지속력이 조금 아쉬워요..",0,보통이에요,보통이에요,아주 만족해요,아주 촉촉해요, 쿨톤
2023.09.29,5점만점에 3점,,,,[옵션] 01 빈티지애플,글로시한 틴트를 정말 오랜만에 사용하는데 생각보다 잘 지워져서 아쉬워요 색은 너무 예쁘넹ㅎ,0,보통이에요,보통이에요,보통이에요,아주 촉촉해요,
2023.09.01,5점만점에 3점,"건성, 쿨톤, 미백",,,[옵션] 01 빈티지애플,촉촉한 상품인거 만큼 지속력은 다소 아쉬운거 같아요! 요플레 현상도 심하고 다시는 안살듯요...,0,보통이에요,예상보다 짧아요,보통이에요,아주 촉촉해요, 쿨톤
2023.07.08,5점만점에 3점,"건성, 여름쿨톤, 모공, 미백",,,[옵션] 05 프레쉬체리,"촉촉하고 발색 잘 되는 틴트입니다
그렇지만 컵에 입을 대고 물만 마셔도 가운데 부분은 다 지워져있습니다.
각질부각보다는 각질을 불게 하는 역할인듯 합니다
그래도 나름 만족하고 데일리로 사용했습니다",0,아주 만족해요,예상보다 짧아요,아주 만족해요,아주 촉촉해요, 여름쿨톤
2023.07.05,5점만점에 3점,,,한달이상사용,[옵션] 05 프레쉬체리,처음 올라가는 색보다 시간이 지나면 많이 딥해지고 입술에 착붙이라기 보단 그냥 얹혀진 느낌이에요...,0,다소 아쉬워요,예상보다 짧아요,다소 아쉬워요,보통이에요,
2023.07.05,5점만점에 3점,,,한달이상사용,[옵션] 03 블러쉬드피치,기대를 많이했던 제품인데 뭔가 입술에 색감이 잘 안 나타나는 느낌이에요 촉촉도 매트도 아닌 중간 제형이라 더 아쉬워요,0,다소 아쉬워요,예상보다 짧아요,보통이에요,보통이에요,
